,id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
35,36,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,1,4,pilot,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.0,1179.0,0,0.0,12.77
36,37,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,2,4,commander,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71.0,1179.0,0,0.0,12.77
37,38,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,3,4,commander,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.0,1179.0,2,7.75,12.77
38,39,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military,NASA- 2,1962,4,4,commander,1973,Skylab 2,Skylab 2,Skylab 2,Skylab 2,673.0,1179.0,2,5.02,12.77
39,40,21,10,"Borman, Frank","Borman, Frank",male,1928,U.S.,military,NASA- 2,1962,1,2,commander,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,477.0,0,0.0,0.0
40,41,21,10,"Borman, Frank","Borman, Frank",male,1928,U.S.,military,NASA- 2,1962,2,2,commander,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,477.0,0,0.0,0.0
41,42,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,1,4,pilot,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,715.05,0,0.0,0.0
42,43,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,2,4,commander,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12,94.0,715.05,0,0.0,0.0
43,44,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,3,4,pilot,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,715.05,0,0.0,0.0
44,45,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military,NASA- 2,1962,4,4,commander,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13,142.0,715.05,0,0.0,0.0
45,46,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,1,4,pilot,1965,gemini 6A,gemini 6A,gemini 6A,gemini 6A,25.86,508.0,0,0.0,0.0
46,47,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,2,4,commander,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72.0,508.0,0,0.0,0.0
47,48,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,3,4,commander,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.0,508.0,0,0.0,0.0
48,49,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military,1996 NASA group,1962,4,4,commander,1975,ASTP,ASTP,ASTP,ASTP,217.0,508.0,0,0.0,0.0
49,50,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,U.S.,civilian,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,1,2,commander,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8,11.0,206.0,0,0.0,2.51
50,51,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,U.S.,civilian,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,2,2,commander,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195.0,206.0,1,2.52,2.51
51,52,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military,1963 NASA group 3,1963,1,3,pilot,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8,240.68,546.0,0,0.0,19.9
52,53,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military,1963 NASA group 3,1963,2,3,pilot,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241.0,546.0,1,1.13,19.9
53,54,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military,1963 NASA group 3,1963,3,3,commander,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15,312.0,546.0,3,18.77,19.9
54,55,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military,NASA- 3,1963,1,3,pilot,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72.0,565.0,1,2.12,24.18
55,56,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military,NASA- 3,1963,2,3,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,565.0,0,0.0,24.18
56,57,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military,NASA- 3,1963,3,3,commander,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17,302.0,565.0,3,22.13,24.18
57,58,27,16,"Collins, Michael","Collins, Michael",male,1930,U.S.,civilian,NASA- 3,1963,1,2,pilot,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10,71.0,266.0,1,1.47,1.47
58,59,27,16,"Collins, Michael","Collins, Michael",male,1930,U.S.,civilian,NASA- 3,1963,2,2,pilot,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195.0,266.0,0,0.0,1.47
59,60,28,17,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",male,1929,U.S.,military,NASA Astronaut Group 3,1963,1,2,pilot,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71.28,315.88,0,0.0,2.68
60,61,28,17,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",male,1929,U.S.,military,NASA Astronaut Group 4,1963,2,2,pilot,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.6,315.88,2,2.68,2.68
61,62,29,18,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,NASA- 3,1963,1,2,pilot,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12,94.58,289.0,3,5.5,8.0
62,63,29,18,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,NASA- 3,1963,2,2,pilot,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195.0,289.0,1,2.5,8.0
63,64,30,19,"Eisele, Donn F.","Eisele, Donn F.",male,1930,U.S.,military,NASA- 3,1963,1,1,pilot,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,260.0,0,0.0,0.0
64,65,31,20,"Cunningham, Ronnie Walter","Cunningham, Ronnie Walter",male,1932,U.S.,civilian,NASA- 3,1963,1,1,pilot,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,260.13,0,0.0,0.0
65,66,100,50,"Savinykh, Viktor",Виктор Петрович Савиных,male,1940,U.S.S.R/Russia,civilian,NPOE-4,1978,2,3,flight engineer,1985,Salyut 7,Soyuz T­13,Salyut 7,Soyuz T­14,4035.0,6065.63,0,0.0,5.0
66,67,100,50,"Savinykh, Viktor",Виктор Петрович Савиных,male,1940,U.S.S.R/Russia,civilian,NPOE-4,1978,3,3,flight engineer,1988,2,Soyuz TM­5,Mir EP,Soyuz TM­4,236.0,6065.63,0,0.0,5.0
67,68,101,1,Jugderdemidiin Gurragchaa,Жүгдэрдэмидийн Гүррагчаа,male,1947,Mongolia,civilian,1978 Intercosmos Group,1978,1,1,flight engineer,1981,Soyuz 39,Soyuz 39,Soyuz 39,Soyuz 39,188.7,188.7,0,0.0,0.0
68,69,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,1,4,pilot,1981,STS-1,STS-1,STS-1,STS-1,54.0,565.0,0,0.0,0.0
69,70,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,2,4,commander,1983,STS-7,STS-7,STS-7,STS-7,146.0,565.0,0,0.0,0.0
70,71,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,3,4,commander,1984,STS-41-C,STS-41-C,STS-41-C,STS-41-C,168.0,565.0,0,0.0,0.0
71,72,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military,NASA- 7,1969,4,4,commander,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197.0,565.0,0,0.0,0.0
72,73,103,1,Dumitru Prunariu,Dumitru-Dorin Prunariu,male,1952,Romania,civilian,1978 Intercosmos Group,1978,1,1,MSP,1981,Soyuz 40,Soyuz 40,Soyuz 40,Soyuz 40,188.7,188.7,0,0.0,0.0
73,74,104,45,"Engle, Joe H.","Engle, Joe H.",male,1932,U.S.,military,NASA- 5,1966,1,2,commander,1981,STS-2,STS-2,STS-2,STS-2,30.0,224.0,0,0.0,0.0
74,75,104,45,"Engle, Joe H.","Engle, Joe H.",male,1932,U.S.,military,NASA- 5,1966,2,2,commander,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170.0,224.0,0,0.0,0.0
75,76,105,46,"Truly, Richard H.","Truly, Richard H.",male,1937,U.S.,military,1965 USAF MOL group 1,1969,1,2,pilot,1981,STS-2,STS-2,STS-2,STS-2,54.21,199.34,0,0.0,0.0
76,77,105,46,"Truly, Richard H.","Truly, Richard H.",male,1937,U.S.,military,1965 USAF MOL group 1,1969,2,2,commander,1983,STS-8,STS-8,STS-8,STS-8,145.13,199.34,0,0.0,0.0
77,78,106,47,"Fullerton, Charles G.","Fullerton, Charles G.",male,1936,U.S.,military,"USAF MOL Group 2 
 NASA- 7",1969,1,2,pilot,1982,STS-3,STS-3,STS-3,STS-3,192.0,382.0,0,0.0,0.0
78,79,106,47,"Fullerton, Charles G.","Fullerton, Charles G.",male,1936,U.S.,military,"USAF MOL Group 2 
 NASA- 7",1969,2,2,commander,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190.0,382.0,0,0.0,0.0
79,80,107,51,"Berezovoy, Anatoly",Анатолий Николаевич Березовой,male,1942,U.S.S.R/Russia,military,TsPK-5,1970,1,1,commander,1982,Salyut 7,Soyuz T­5,Salyut 7,Soyuz T­7,5073.0,5073.07,1,2.55,2.55
80,81,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military,CNES-1,1980,1,3,MSP,1982,Salyut 7,Soyuz T-6,Salyut 7,Soyuz T-6,190.0,1043.32,0,0.0,5.95
81,82,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military,CNES-1,1980,2,3,MSP,1988,Mir Aragatz,Soyuz TM-7,Mir,Soyuz TM-6,594.0,1043.32,1,5.95,5.95
82,83,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military,CNES-1,1980,3,3,MSP,1997,STS-86,STS-86,STS-86,STS-86,259.3,1043.32,0,0.0,5.95
83,84,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military,NASA Astronaut Group 7,1969,1,3,pilot,1982,STS-4,STS-4,STS-4,STS-4,169.0,481.0,0,0.0,0.0
84,85,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military,NASA Astronaut Group 7,1969,2,3,commander,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,144.0,481.0,0,0.0,0.0
85,86,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military,NASA Astronaut Group 7,1969,3,3,commander,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168.0,481.0,0,0.0,0.0
86,87,110,52,"Serebrov, Aleksandr",Александр Александрович Серебров,male,1944,U.S.S.R/Russia,civilian,NPOE-4,1978,1,4,flight engineer,1982,Salyut 7,Soyuz T­7,Salyut 7,Soyuz T­5,189.0,8950.87,0,0.0,31.82
87,88,32,12,"Beregovoi, Georgi",БЕРЕГОВОЙ Георгий Тимофеевич,male,1921,U.S.S.R/Russia,military,TsPK-2,1964,1,1,commander,1968,Soyuz 3,Soyuz 3,Soyuz 3,Soyuz 3,94.83,94.83,0,0.0,0.0
88,89,33,21,"Anders, William Alison","Anders, William Alison",male,1933,U.S.,civilian,NASA- 3,1963,1,1,pilot,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,147.0,0,0.0,0.0
89,90,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military,TsPK-2,1963,1,3,commander,1969,Soyuz 4,Soyuz 4,Soyuz 4/Soyuz 5,Soyuz 4,71.33,237.92,0,0.0,0.0
90,91,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military,TsPK-3,1963,2,3,commander,1969,Soyuz 8,Soyuz 8,Soyuz 8,Soyuz 8,118.0,237.92,0,0.0,0.0
91,92,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military,TsPK-4,1963,3,3,commander,1971,Soyuz 10,Soyuz 10,Soyuz 10,Soyuz 10,47.0,237.92,0,0.0,0.0
92,93,35,14,"Volynov, Boris",ВОЛЫНОВ Борис Валентинович,male,1934,U.S.S.R/Russia,military,TsPK-1,1960,1,2,commander,1969,Soyuz 5,Soyuz 5,Soyuz 5/Soyuz 4,Soyuz 5,72.0,1255.28,0,0.0,0.0
93,94,35,14,"Volynov, Boris",ВОЛЫНОВ Борис Валентинович,male,1934,U.S.S.R/Russia,military,TsPK-1,1960,2,2,commander,1976,Soyuz 21,Soyuz 21,Soyuz 21,Soyuz 21,1182.0,1255.28,0,0.0,0.0
94,95,36,15,"Yeliseyev, Aleksei",ЕЛИСЕЕВ Алексей Станиславович,male,1934,U.S.S.R/Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1969,Soyuz 5/4,Soyuz 5,Soyuz 5/4,Soyuz 4,47.0,214.33,1,0.62,0.62
95,96,36,15,"Yeliseyev, Aleksei",ЕЛИСЕЕВ Алексей Станиславович,male,1934,U.S.S.R/Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1969,Soyuz 8,Soyuz 8,Soyuz 8,Soyuz 8,118.0,214.33,0,0.0,0.62
96,97,36,15,"Yeliseyev, Aleksei",ЕЛИСЕЕВ Алексей Станиславович,male,1934,U.S.S.R/Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,flight engineer,1971,Soyuz 10,Soyuz 10,Salyut 1,Soyuz 10,47.0,214.33,0,0.0,0.62
97,98,37,16,"Khrunov, Yevgeny",ХРУНОВ Евгений Викторович,male,1933,U.S.S.R/Russia,military,TsPK-1,1960,1,1,MSP,1969,Soyuz 5/4,Soyuz 5,Soyuz 5/4,Soyuz 4,48.17,47.75,1,0.62,0.62
98,99,38,22,"Schweickart, Russell L.","Schweickart, Russell L.",male,1935,U.S.,civilian,1963 NASA group 3,1963,1,1,pilot,1969,apollo 9,apollo 9,apollo 9,apollo 9,241.0,241.0,1,1.13,1.13
99,100,39,17,"Shonin, Georgi",ШОНИН Георгий Степанович,male,1935,U.S.S.R/Russia,military,TsPK-1,1960,1,1,commander,1969,Soyuz 6,Soyuz 6,Soyuz 6,Soyuz 6,118.0,118.7,0,0.0,0.0
100,101,40,18,"Kubasov, Valeri",КУБАСОВ Валерий Николаевич,male,1935,U.S.S.R/Russia,military,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1969,Soyuz 6,Soyuz 6,Soyuz 6,Soyuz 6,118.0,449.95,0,0.0,0.0
101,102,40,18,"Kubasov, Valeri",КУБАСОВ Валерий Николаевич,male,1935,U.S.S.R/Russia,military,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142.0,449.95,0,0.0,0.0
102,103,40,18,"Kubasov, Valeri",КУБАСОВ Валерий Николаевич,male,1935,U.S.S.R/Russia,military,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,commander,1980,Soyuz 36/35,Soyuz 36,Salyut 6,Soyuz 35,188.0,449.95,0,0.0,0.0
103,104,41,19,"Filipchenko, Anatoly",ФИЛИПЧЕНКО Анатолий Васильевич,male,1928,U.S.S.R/Russia,military,TsPK-2,1963,1,2,commander,1969,Soyuz 7,Soyuz 7,Soyuz 7,Soyuz 7,118.0,261.05,0,0.0,0.0
104,105,41,19,"Filipchenko, Anatoly",ФИЛИПЧЕНКО Анатолий Васильевич,male,1928,U.S.S.R/Russia,military,TsPK-3,1963,2,2,commander,1974,Soyuz 16,Soyuz 16,Soyuz 16,Soyuz 16,142.0,261.05,0,0.0,0.0
105,106,42,20,"Volkov, Vladislav",Владислав Николаевич Волков,male,1935,U.S.S.R/Russia,military,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,2,flight engineer,1969,Soyuz 7,Soyuz 7,Soyuz 7,Soyuz 7,118.0,689.02,0,0.0,0.0
106,107,42,20,"Volkov, Vladislav",Владислав Николаевич Волков,male,1935,U.S.S.R/Russia,military,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,2,2,flight engineer,1971,Soyuz 11,Soyuz 11,Salyut 1,Soyuz 11,570.0,689.02,0,0.0,0.0
107,108,43,21,"Gorbatko, Viktor",Виктор Васильевич Горбатко,male,1934,U.S.S.R/Russia,military,TsPK-1,1960,1,3,MSP,1969,Soyuz 7,Soyuz 7,Soyuz 7,Soyuz 7,118.0,732.78,0,0.0,0.0
108,109,43,21,"Gorbatko, Viktor",Виктор Васильевич Горбатко,male,1934,U.S.S.R/Russia,military,TsPK-2,1960,2,3,commander,1977,Soyuz 24,Soyuz 24,Salyut 5,Soyuz 24,425.0,732.78,0,0.0,0.0
109,110,43,21,"Gorbatko, Viktor",Виктор Васильевич Горбатко,male,1934,U.S.S.R/Russia,military,TsPK-3,1960,3,3,commander,1980,Soyuz 37/36,Soyuz 37,Salyut 6,Soyuz 36,188.0,732.78,0,0.0,0.0
110,111,44,23,"Bean, Alan Lavern","Bean, Alan Lavern",male,1932,U.S.,military,1963 NASA group 3,1963,1,2,pilot,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.81,1671.75,2,6.4,9.32
111,112,44,23,"Bean, Alan Lavern","Bean, Alan Lavern",male,1932,U.S.,military,1963 NASA group 3,1963,2,2,commander,1973,Skylab 3,Apollo CSM-117,Skylab 3,Apollo CSM-117,1427.23,1671.75,1,2.68,9.32
